CustomerID,Age,Gender,Income,Campaign_Type,Campaign_Cost,Clicked_Ad,Purchased,Revenue
1,56,Male,77676,SMS,3077,0,0,0
2,46,Female,31560,SMS,4389,0,0,0
3,32,Male,74401,Email,629,0,0,0
4,60,Male,70468,TV,2992,0,0,0
5,25,Male,135884,Email,1366,0,0,0
6,38,Male,52463,TV,1573,0,0,0
7,56,Male,51663,SMS,4834,1,1,997
8,36,Female,133687,Email,1697,0,0,0
9,40,Female,88706,Social Media,2625,0,0,0
10,28,Male,78773,TV,4893,1,0,0
11,28,Male,53123,Social Media,3861,0,0,0
12,41,Male,114346,TV,2842,1,1,4792
13,53,Female,29718,Email,4735,1,0,0
14,57,Female,146777,Social Media,4525,0,0,0
15,41,Male,82637,Email,569,0,0,0
16,20,Male,20028,TV,3930,0,0,0
17,39,Female,82370,TV,633,0,0,0
18,19,Male,67599,TV,4662,0,0,0
19,41,Female,37397,TV,4155,0,0,0
20,61,Female,129198,SMS,3779,1,1,2515
21,47,Male,127323,TV,4187,0,0,0
22,55,Female,65406,Social Media,861,0,0,0
23,19,Male,67657,TV,990,1,0,0
24,38,Male,87560,Email,2455,0,0,0
25,50,Male,143178,SMS,2055,0,0,0
26,29,Male,124143,Social Media,3071,0,0,0
27,39,Male,144745,SMS,1772,0,0,0
28,61,Male,146896,SMS,2936,1,0,0
29,42,Female,33503,SMS,3744,0,0,0
30,44,Female,74943,Email,2397,0,0,0
31,59,Female,95839,SMS,4161,0,0,0
32,45,Female,102674,SMS,3266,0,0,0
33,33,Male,45345,TV,1419,0,0,0
34,32,Female,138423,Email,283,1,1,7380
35,64,Female,70390,Social Media,1383,1,0,0
36,61,Female,115041,Social Media,2946,0,0,0
37,20,Male,79557,Social Media,2333,0,0,0
38,54,Female,85054,Email,4188,1,0,0
39,24,Male,21906,Social Media,1532,0,0,0
40,38,Female,60167,Email,3240,0,0,0
41,26,Male,27961,TV,1896,0,0,0
42,56,Male,46140,TV,4822,0,0,0
43,35,Female,144098,Email,2155,0,0,0
44,21,Male,139289,Social Media,3436,1,1,974
45,42,Male,78701,Email,882,1,1,8196
46,31,Female,97567,Email,1607,0,0,0
47,26,Female,100664,SMS,4970,0,0,0
48,43,Female,101199,Email,3954,1,0,0
49,19,Male,149856,SMS,776,0,0,0
50,37,Male,119764,TV,1930,1,0,0
51,45,Male,101218,SMS,4190,0,0,0
52,64,Female,142357,Email,4406,0,0,0
53,24,Male,100729,TV,1460,0,0,0
54,61,Male,48561,SMS,4685,1,0,0
55,25,Male,70568,Email,2786,0,0,0
56,64,Male,129349,TV,290,0,0,0
57,52,Male,93302,SMS,942,0,0,0
58,31,Male,115380,Email,434,1,0,0
59,34,Male,114968,Email,1210,1,1,803
60,53,Female,49504,Social Media,678,1,0,0
61,57,Female,136116,Social Media,161,1,1,6066
62,21,Female,57146,SMS,486,0,0,0
63,19,Male,60297,SMS,1269,0,0,0
64,23,Male,106394,SMS,2300,0,0,0
65,59,Female,147173,Email,4814,0,0,0
66,21,Male,145942,SMS,1783,1,1,6780
67,46,Female,88607,Email,586,1,1,5850
68,35,Male,36939,SMS,3832,0,0,0
69,43,Male,110467,Email,640,1,1,9664
70,61,Female,70715,Email,2160,1,1,4633
71,51,Female,64460,Social Media,4346,0,0,0
72,27,Female,86576,TV,1338,0,0,0
73,53,Female,88222,Email,1090,0,0,0
74,31,Female,32666,SMS,4567,0,0,0
75,48,Male,82119,Social Media,2399,0,0,0
76,32,Male,55321,SMS,4007,0,0,0
77,25,Male,21779,SMS,4388,0,0,0
78,31,Female,33186,Email,1180,1,0,0
79,40,Female,36459,Email,297,0,0,0
80,57,Female,106246,TV,2294,0,0,0
81,38,Female,107755,Email,1698,1,1,9355
82,33,Female,25057,Email,1700,0,0,0
83,62,Female,80663,TV,3792,0,0,0
84,35,Male,38733,SMS,3965,1,0,0
85,64,Male,39157,TV,783,0,0,0
86,41,Male,55030,TV,3183,1,1,2528
87,43,Male,39613,TV,4089,0,0,0
88,42,Male,128612,Social Media,432,0,0,0
89,62,Female,135080,SMS,1871,0,0,0
90,58,Female,103028,Social Media,4300,0,0,0
